GLON,GLAT,z,Mbh
28.25896,45.57574,0.01582,170.33
28.26432,64.41246,0.0151,71.935
28.28878,89.59132,0.02054,145.556
28.43888,-56.14821,0.01598,310.141
28.65149,22.81752,0.02262,316.679
28.66816,25.82537,0.00857,32.557
28.76131,-26.53464,0.02156,188.488
28.83435,-57.92558,0.01561,459.638
28.864,46.04031,0.01582,91.81
28.96682,62.88193,0.02119,152.086
29.07264,24.33627,0.02124,190.958
30.44487,28.01634,0.02093,152.394
30.76578,48.24288,0.01408,110.445
31.13214,70.1594,0.01723,149.437
31.2972,68.9726,0.01689,183.208
31.35225,83.18077,0.02428,225.316
31.44014,-24.41407,0.01861,175.668
31.44099,48.4872,0.01313,90.126
31.45812,45.35067,0.0147,162.638
31.4812,-53.92078,0.01753,95.61
31.49377,6.79096,0.00949,60.69
31.62618,-25.41807,0.01917,233.47
31.96046,70.4958,0.01717,334.18
32.07815,-53.88387,0.0178,161.8
32.24422,51.65986,0.0151,145.201
32.43496,39.17286,0.01544,81.004
32.59042,-13.07361,0.01025,92.124
32.67735,-61.27196,0.01086,120.206
32.8315,25.42526,0.02133,253.264
33.16565,-57.28265,0.02002,136.132
33.2516,-50.95024,0.00413,17.398
33.29872,45.91487,0.01493,70.881
33.37798,46.02546,0.0145,60.943
33.4411,-51.06839,0.00597,20.251
33.51237,-54.37137,0.00873,93.717
33.57871,21.16516,0.02122,224.013
34.01942,-59.74628,0.01478,552.804
34.03134,23.86693,0.00922,115.571
34.03867,59.34328,0.01646,149.603
34.04681,67.61808,0.01494,100.536
34.06271,-27.79952,0.01184,77.83
34.14444,13.75658,0.00653,55.635
34.43963,-51.08265,0.01792,110.361
34.63028,-54.79778,0.01673,276.592
34.7735,21.38444,0.02161,568.038
34.79157,48.36855,0.01624,131.405
34.96376,46.87277,0.01521,91.885
34.96905,10.92488,0.02054,197.38
34.97845,46.87026,0.01483,82.7
35.06699,68.32818,0.015,296.621
35.10642,68.36507,0.01462,122.547
35.1775,52.43232,0.01444,77.115
35.2226,46.63202,0.01609,194.264
35.42519,70.56374,0.01514,105.303
35.6071,68.23278,0.01433,68.369
35.64187,46.08256,0.01428,85.315
35.67989,-30.21412,0.01948,232.077
35.69189,-50.42926,0.00879,220.428
35.81584,46.24628,0.01519,118.122
35.82764,-61.58461,0.01114,425.993
36.17207,47.0814,0.01793,101.321
36.23565,-26.47919,0.02035,322.023
36.2556,14.57974,0.02095,383.285
36.37759,54.15896,0.01772,126.827
36.38324,40.23017,0.00813,32.884
36.4775,8.07386,0.00412,17.504
36.78217,24.69212,0.00961,51.117
36.78306,-67.46448,0.02072,262.593
36.99609,-76.62234,0.01239,46.536
37.08408,47.81381,0.01437,166.311
37.12236,-7.20677,0.02108,196.176
37.14496,-85.60914,0.02372,424.102
37.17309,-25.55015,0.02041,212.494
37.17644,-30.35301,0.0191,250.333
37.25297,71.8027,0.0177,94.294
37.56136,45.50161,0.01447,102.5
37.7807,12.7146,0.02055,246.174
37.86493,12.77917,0.02036,148.174
38.13112,59.90717,0.02232,152.539
38.15945,60.88236,0.02206,278.742
38.31743,-4.51203,0.0218,256.625
